Iter,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,time_comm_per_iter,time_comp_per_iter,time_per_iter
24,9.997680823629458e-05,25,19.921875,2.235502700805664,,,,,0.03723025321960449,0.33011388778686523,0.3673441410064697
25,9.997480462950849e-05,26,20.289963942307693,2.232086108281062,,,,,0.05832934379577637,0.06718611717224121,0.12551546096801758
26,9.997297636032433e-05,27,20.580150462962962,2.2292777167426214,,,,,0.03766918182373047,0.2619502544403076,0.2996194362640381
27,9.99708084097555e-05,28,20.877511160714285,2.2257310322352817,,,,,0.04367828369140625,0.2919890880584717,0.33566737174987793
28,9.99685582951552e-05,30,21.26953125,2.2205095926920575,,,,,0.044173240661621094,0.15065884590148926,0.19483208656311035
29,9.99662260202231e-05,31,21.610383064516128,2.216414451599121,,,,,0.03774380683898926,0.024940967559814453,0.06268477439880371
30,9.99638115887941e-05,32,21.722412109375,2.213278651237488,,,,,0.027150630950927734,0.2710583209991455,0.29820895195007324
31,9.99613150048381e-05,33,21.88683712121212,2.2103329571810635,,,,,0.04179263114929199,0.29198312759399414,0.33377575874328613
32,9.995873627246011e-05,34,21.98988970588235,2.207623229307287,,,,,0.036254167556762695,0.0669395923614502,0.10319375991821289
33,9.995640607474579e-05,36,22.06488715277778,2.2023931079440646,,,,,0.03646731376647949,0.049608469009399414,0.0860757827758789
34,9.995366304930449e-05,37,22.175886824324323,2.1992850690274626,,,,,0.02751612663269043,0.23297739028930664,0.26049351692199707
35,9.995083788829495e-05,38,22.30674342105263,2.196291120428788,,,,,0.03972887992858887,0.29154133796691895,0.3312702178955078
36,9.994793059636238e-05,39,22.44090544871795,2.1936262326362805,,,,,0.050438880920410156,0.1688065528869629,0.21924543380737305
37,9.994494117828711e-05,40,22.4560546875,2.191643786430359,,,,,0.04132413864135742,0.1482257843017578,0.18954992294311523
38,9.994186963898445e-05,41,22.599085365853657,2.1897688144590797,,,,,0.04056572914123535,0.2964184284210205,0.33698415756225586
39,9.993871598350477e-05,42,22.79110863095238,2.1865898086911155,,,,,0.03476357460021973,0.21837735176086426,0.253140926361084
40,9.993548021703351e-05,43,22.887899709302324,2.183744696683662,,,,,0.051049232482910156,0.1627810001373291,0.21383023262023926
41,9.993257514603075e-05,45,23.19878472222222,2.1782571368747288,,,,,0.05322527885437012,0.3108789920806885,0.3641042709350586
42,9.992917515962783e-05,46,23.348335597826086,2.1756056702655293,,,,,1.0723419189453125,0.32779383659362793,1.4001357555389404
43,9.992569307826042e-05,47,23.47905585106383,2.1728974809037878,,,,,0.034964799880981445,0.29509663581848145,0.3300614356994629
44,9.992212890765389e-05,49,23.760363520408163,2.1670438610777563,,,,,0.03319048881530762,0.07307982444763184,0.10627031326293945
45,9.991848265366863e-05,51,23.870251225490197,2.162456662047143,,,,,0.03009176254272461,0.040525197982788086,0.0706169605255127
46,9.99147543223e-05,53,23.99395636792453,2.158211977976673,,,,,0.04874277114868164,0.23073387145996094,0.2794766426086426
47,9.991094391967831e-05,55,24.108664772727273,2.1542230432683773,,,,,0.02710413932800293,0.2801499366760254,0.3072540760040283
48,9.990705145206882e-05,57,24.338678728070175,2.1486731077495373,,,,,0.03178262710571289,0.21503996849060059,0.24682259559631348
49,9.990307692587173e-05,58,24.427532327586206,2.146289348602295,,,,,0.033765316009521484,0.033057212829589844,0.06682252883911133
