G,Iter,K,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,m,time,time_comm,time_comm_per_iter,time_comp_per_iter,time_per_iter,time_step,upper_bound
,25,,0.0009990002673774259,30,20.735677083333332,2.208735990524292,,,,,,,,,,,,0.03558182716369629,0.0377352237701416,0.07331705093383789,,
,26,,0.0009989168792034532,31,20.822832661290324,2.2053351402282715,,,,,,,,,,,,0.035567522048950195,0.3139379024505615,0.3495054244995117,,
,27,,0.0009988302097140714,33,21.20028409090909,2.2000006617921772,,,,,,,,,,,,0.036620378494262695,0.2809290885925293,0.317549467086792,,
,28,,0.000998740259479306,35,21.361607142857142,2.197607217516218,,,,,,,,,,,,0.04192209243774414,0.16093683242797852,0.20285892486572266,,
,29,,0.0009986585539590441,36,21.36501736111111,2.1959858073128595,,,,,,,,,,,,0.03671598434448242,0.17514395713806152,0.21185994148254395,,
,30,,0.0009985620429161192,37,21.558277027027028,2.1940064430236816,,,,,,,,,,,,0.05965781211853027,0.30226683616638184,0.3619246482849121,,
,31,,0.0009984622529294925,38,21.73622532894737,2.191220371346725,,,,,,,,,,,,0.04266166687011719,0.19956564903259277,0.24222731590270996,,
,32,,0.0009983591846554822,39,21.844951923076923,2.1884117004198904,,,,,,,,,,,,0.04553484916687012,0.17085504531860352,0.21638989448547363,,
,33,,0.0009982528387719673,40,21.9189453125,2.185961902141571,,,,,,,,,,,,0.04699134826660156,0.3025777339935303,0.34956908226013184,,
,34,,0.000998143215978384,42,22.10751488095238,2.1824183350517634,,,,,,,,,,,,0.03986358642578125,0.20680832862854004,0.2466719150543213,,
,35,,0.0009980303169957211,44,22.203480113636363,2.178088762543418,,,,,,,,,,,,0.057045698165893555,0.1543729305267334,0.21141862869262695,,
,36,,0.0009979141425665136,46,22.575577445652176,2.173235385314278,,,,,,,,,,,,0.04419827461242676,0.32476162910461426,0.368959903717041,,
,37,,0.0009977946934548402,48,22.562662760416668,2.1696886718273163,,,,,,,,,,,,0.04289674758911133,0.20635366439819336,0.2492504119873047,,
,38,,0.0009976719704463167,50,22.81640625,2.1644233798980714,,,,,,,,,,,,0.04393339157104492,0.03503823280334473,0.07897162437438965,,
,39,,0.0009975459743480914,51,22.95879289215686,2.1605092310437968,,,,,,,,,,,,0.05026078224182129,0.32910966873168945,0.37937045097351074,,
,40,,0.0009974167059888395,52,23.197115384615383,2.156167663060702,,,,,,,,,,,,0.04398798942565918,0.2975442409515381,0.34153223037719727,,
,41,,0.0009972841662187581,53,23.36379716981132,2.1523018333147155,,,,,,,,,,,,0.03534507751464844,0.03634476661682129,0.07168984413146973,,
,42,,0.0009971652027331221,54,23.51707175925926,2.1489220990075006,,,,,,,,,,,,0.12295961380004883,0.3210153579711914,0.44397497177124023,,
